frame,camera_id,location,cars,bikes,buses,trucks,total_vehicles,queue_count,red_light_violations,rash_driving,timestamp
532,CAM-01,Primary Junction,3,6,0,1,10,4,0,14,2026-02-13T01:08:49
536,CAM-01,Primary Junction,3,4,0,0,7,3,0,14,2026-02-13T01:08:49
540,CAM-01,Primary Junction,2,4,0,0,6,2,0,14,2026-02-13T01:08:49
544,CAM-01,Primary Junction,2,3,0,0,5,2,0,14,2026-02-13T01:08:49
548,CAM-01,Primary Junction,2,2,0,0,4,2,0,14,2026-02-13T01:08:49
552,CAM-01,Primary Junction,2,2,0,0,4,2,0,14,2026-02-13T01:08:50
556,CAM-01,Primary Junction,2,4,0,1,7,3,0,14,2026-02-13T01:08:50
560,CAM-01,Primary Junction,3,3,0,0,6,3,0,14,2026-02-13T01:08:50
564,CAM-01,Primary Junction,3,3,1,0,7,4,0,14,2026-02-13T01:08:50
568,CAM-01,Primary Junction,3,3,1,2,9,6,0,14,2026-02-13T01:08:50
572,CAM-01,Primary Junction,3,2,1,1,7,5,0,14,2026-02-13T01:08:50
576,CAM-01,Primary Junction,3,3,1,2,9,6,0,14,2026-02-13T01:08:50
580,CAM-01,Primary Junction,2,1,1,0,4,3,0,14,2026-02-13T01:08:50
584,CAM-01,Primary Junction,2,1,1,2,6,5,0,14,2026-02-13T01:08:50
588,CAM-01,Primary Junction,3,2,1,2,8,6,0,14,2026-02-13T01:08:51
592,CAM-01,Primary Junction,3,1,1,2,7,6,0,14,2026-02-13T01:08:51
596,CAM-01,Primary Junction,2,4,1,2,9,5,0,14,2026-02-13T01:08:51
600,CAM-01,Primary Junction,3,6,1,1,11,5,0,14,2026-02-13T01:08:51
604,CAM-01,Primary Junction,3,3,1,2,9,6,0,14,2026-02-13T01:08:51
608,CAM-01,Primary Junction,3,6,1,1,11,5,0,15,2026-02-13T01:08:51
612,CAM-01,Primary Junction,3,5,1,1,10,5,0,15,2026-02-13T01:08:51
616,CAM-01,Primary Junction,3,5,1,1,10,5,0,15,2026-02-13T01:08:51
620,CAM-01,Primary Junction,3,3,0,2,8,5,0,15,2026-02-13T01:08:52
624,CAM-01,Primary Junction,3,3,1,1,8,5,0,15,2026-02-13T01:08:52
628,CAM-01,Primary Junction,3,3,1,1,8,5,0,15,2026-02-13T01:08:52
632,CAM-01,Primary Junction,3,4,1,2,10,6,0,15,2026-02-13T01:08:52
636,CAM-01,Primary Junction,3,2,1,1,7,5,0,15,2026-02-13T01:08:52
640,CAM-01,Primary Junction,3,2,1,1,7,5,0,15,2026-02-13T01:08:52
644,CAM-01,Primary Junction,3,3,1,1,8,5,0,15,2026-02-13T01:08:52
648,CAM-01,Primary Junction,2,3,1,1,7,4,0,15,2026-02-13T01:08:52
652,CAM-01,Primary Junction,3,2,1,1,7,5,0,15,2026-02-13T01:08:52
656,CAM-01,Primary Junction,3,4,1,1,9,5,0,15,2026-02-13T01:08:53
660,CAM-01,Primary Junction,3,3,1,1,8,5,0,15,2026-02-13T01:08:53
664,CAM-01,Primary Junction,3,2,1,0,6,4,0,15,2026-02-13T01:08:53
668,CAM-01,Primary Junction,2,1,1,2,6,5,0,15,2026-02-13T01:08:53
672,CAM-01,Primary Junction,2,1,1,0,4,3,0,15,2026-02-13T01:08:53
676,CAM-01,Primary Junction,3,3,1,0,7,4,0,15,2026-02-13T01:08:53
680,CAM-01,Primary Junction,2,1,1,1,5,4,0,15,2026-02-13T01:08:53
684,CAM-01,Primary Junction,4,2,1,0,7,5,0,15,2026-02-13T01:08:53
688,CAM-01,Primary Junction,4,2,1,0,7,5,0,15,2026-02-13T01:08:54
692,CAM-01,Primary Junction,3,3,1,0,7,4,0,15,2026-02-13T01:08:54
696,CAM-01,Primary Junction,4,4,2,0,10,6,0,15,2026-02-13T01:08:54
700,CAM-01,Primary Junction,5,3,2,0,10,7,0,15,2026-02-13T01:08:54
704,CAM-01,Primary Junction,3,2,2,0,7,5,0,15,2026-02-13T01:08:54
708,CAM-01,Primary Junction,4,2,1,1,8,6,0,15,2026-02-13T01:08:54
712,CAM-01,Primary Junction,4,0,1,1,6,6,0,15,2026-02-13T01:08:54
716,CAM-01,Primary Junction,3,0,1,0,4,4,0,15,2026-02-13T01:08:54
720,CAM-01,Primary Junction,3,2,1,1,7,5,0,15,2026-02-13T01:08:54
724,CAM-01,Primary Junction,3,3,0,1,7,4,0,15,2026-02-13T01:08:55
728,CAM-01,Primary Junction,4,2,2,1,9,7,0,15,2026-02-13T01:08:55
732,CAM-01,Primary Junction,3,1,2,0,6,5,0,15,2026-02-13T01:08:55
736,CAM-01,Primary Junction,3,0,1,0,4,4,0,15,2026-02-13T01:08:55
740,CAM-01,Primary Junction,3,1,2,0,6,5,0,15,2026-02-13T01:08:55
744,CAM-01,Primary Junction,3,2,1,0,6,4,0,15,2026-02-13T01:08:55
748,CAM-01,Primary Junction,3,3,1,0,7,4,0,15,2026-02-13T01:08:55
752,CAM-01,Primary Junction,3,3,1,0,7,4,0,15,2026-02-13T01:08:55
756,CAM-01,Primary Junction,3,1,1,0,5,4,0,15,2026-02-13T01:08:55
760,CAM-01,Primary Junction,3,1,2,0,6,5,0,15,2026-02-13T01:08:56
764,CAM-01,Primary Junction,3,1,1,0,5,4,0,15,2026-02-13T01:08:56
768,CAM-01,Primary Junction,3,0,1,0,4,4,0,15,2026-02-13T01:08:56
772,CAM-01,Primary Junction,3,2,1,0,6,4,0,15,2026-02-13T01:08:56
776,CAM-01,Primary Junction,3,3,1,0,7,4,0,15,2026-02-13T01:08:56
780,CAM-01,Primary Junction,4,1,0,1,6,5,0,15,2026-02-13T01:08:56
784,CAM-01,Primary Junction,4,3,1,0,8,5,0,15,2026-02-13T01:08:56
788,CAM-01,Primary Junction,3,2,1,0,6,4,0,15,2026-02-13T01:08:57
792,CAM-01,Primary Junction,3,1,1,0,5,4,0,15,2026-02-13T01:08:57
796,CAM-01,Primary Junction,3,1,1,0,5,4,0,15,2026-02-13T01:08:57
800,CAM-01,Primary Junction,3,4,0,0,7,3,0,15,2026-02-13T01:08:57
804,CAM-01,Primary Junction,3,2,1,1,7,5,0,15,2026-02-13T01:08:57
808,CAM-01,Primary Junction,3,2,0,1,6,4,0,15,2026-02-13T01:08:57
812,CAM-01,Primary Junction,4,3,0,1,8,5,0,15,2026-02-13T01:08:57
816,CAM-01,Primary Junction,4,3,0,1,8,5,0,15,2026-02-13T01:08:57
